,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
0,14_1,4/1/2019,4533,59236363,0,0,Mahabubnagar,Apr,Q1,2019
1,17_3,4/1/2019,4151,41508762,0,0,Siddipet,Apr,Q1,2019
2,20_3,4/1/2019,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019
3,21_5,4/1/2019,1089,15915285,0,0,Mahabubabad,Apr,Q1,2019
4,23_1,4/1/2019,6133,82593256,0,0,Nalgonda,Apr,Q1,2019
5,23_3,4/1/2019,7413,113680902,0,0,Yadadri Bhuvanagiri,Apr,Q1,2019
6,20_1,4/1/2019,2748,58308650,0,0,Karimnagar,Apr,Q1,2019
7,20_4,4/1/2019,1384,27467135,0,0,Peddapalli,Apr,Q1,2019
8,16_1,4/1/2019,5268,724238098,0,0,Hyderabad,Apr,Q1,2019
9,14_3,4/1/2019,2726,21804047,0,0,Nagarkurnool,Apr,Q1,2019
10,15_2,4/1/2019,14140,1080766807,0,0,Medchal_Malkajgiri,Apr,Q1,2019
11,21_6,4/1/2019,563,5688052,0,0,Mulugu,Apr,Q1,2019
12,22_2,4/1/2019,542,12610700,0,0,Bhadradri Kothagudem,Apr,Q1,2019
13,20_2,4/1/2019,1943,26031616,0,0,Jagtial,Apr,Q1,2019
14,14_2,4/1/2019,2074,17019180,0,0,Jogulamba Gadwal,Apr,Q1,2019
15,21_2,4/1/2019,947,10639865,0,0,Warangal,Apr,Q1,2019
16,22_1,4/1/2019,4088,89082890,0,0,Khammam,Apr,Q1,2019
17,17_2,4/1/2019,8316,418960714,0,0,Sangareddy,Apr,Q1,2019
18,23_2,4/1/2019,2692,45800865,0,0,Suryapet,Apr,Q1,2019
19,19_4,4/1/2019,585,8302945,0,0,Kumurambheem Asifabad,Apr,Q1,2019
20,19_3,4/1/2019,1620,24326193,0,0,Mancherial,Apr,Q1,2019
21,18_2,4/1/2019,2876,26367902,0,0,Kamareddy,Apr,Q1,2019
22,19_1,4/1/2019,1043,12672655,0,0,Adilabad,Apr,Q1,2019
23,14_5,4/1/2019,2091,13948976,0,0,Narayanpet,Apr,Q1,2019
24,14_4,4/1/2019,2355,19227636,0,0,Wanaparthy,Apr,Q1,2019
25,18_1,4/1/2019,4562,60415544,0,0,Nizamabad,Apr,Q1,2019
26,19_2,4/1/2019,1767,18940764,0,0,Nirmal,Apr,Q1,2019
27,21_1,4/1/2019,4186,120047007,0,0,Hanumakonda,Apr,Q1,2019
28,15_1,4/1/2019,29436,2026355727,0,0,Rangareddy,Apr,Q1,2019
29,17_1,4/1/2019,2205,30584778,0,0,Medak,Apr,Q1,2019
30,21_3,4/1/2019,2372,30706161,0,0,Jangoan,Apr,Q1,2019
31,15_3,4/1/2019,2259,26570227,0,0,Vikarabad,Apr,Q1,2019
32,14_1,5/1/2019,4301,73344601,0,0,Mahabubnagar,May,Q1,2019
33,17_3,5/1/2019,4478,49926112,0,0,Siddipet,May,Q1,2019
34,20_3,5/1/2019,2097,23745502,0,0,Rajanna Sircilla,May,Q1,2019
35,21_5,5/1/2019,1468,19541233,0,0,Mahabubabad,May,Q1,2019
36,23_1,5/1/2019,6592,90267315,0,0,Nalgonda,May,Q1,2019
37,23_3,5/1/2019,8787,161615746,0,0,Yadadri Bhuvanagiri,May,Q1,2019
38,20_1,5/1/2019,3029,60448065,0,0,Karimnagar,May,Q1,2019
39,20_4,5/1/2019,1554,27369396,0,0,Peddapalli,May,Q1,2019
40,16_1,5/1/2019,5210,754708131,0,0,Hyderabad,May,Q1,2019
41,14_3,5/1/2019,3471,25935850,0,0,Nagarkurnool,May,Q1,2019
42,15_2,5/1/2019,16036,1231074513,0,0,Medchal_Malkajgiri,May,Q1,2019
43,21_6,5/1/2019,616,6059339,0,0,Mulugu,May,Q1,2019
44,22_2,5/1/2019,782,12779175,0,0,Bhadradri Kothagudem,May,Q1,2019
45,20_2,5/1/2019,2312,29341793,0,0,Jagtial,May,Q1,2019
46,14_2,5/1/2019,2392,21224914,0,0,Jogulamba Gadwal,May,Q1,2019
47,21_2,5/1/2019,1230,15030867,0,0,Warangal,May,Q1,2019
48,22_1,5/1/2019,5095,93397223,0,0,Khammam,May,Q1,2019
49,17_2,5/1/2019,8494,425344246,0,0,Sangareddy,May,Q1,2019
50,23_2,5/1/2019,3460,53073454,0,0,Suryapet,May,Q1,2019
51,19_4,5/1/2019,414,4902685,0,0,Kumurambheem Asifabad,May,Q1,2019
52,19_3,5/1/2019,2260,33143566,0,0,Mancherial,May,Q1,2019
53,18_2,5/1/2019,3352,26907600,0,0,Kamareddy,May,Q1,2019
54,19_1,5/1/2019,1092,15177385,0,0,Adilabad,May,Q1,2019
55,14_5,5/1/2019,1615,11855661,0,0,Narayanpet,May,Q1,2019
56,14_4,5/1/2019,2809,20217773,0,0,Wanaparthy,May,Q1,2019
57,18_1,5/1/2019,5047,71038874,0,0,Nizamabad,May,Q1,2019
58,19_2,5/1/2019,1788,20714061,0,0,Nirmal,May,Q1,2019
59,21_1,5/1/2019,5395,151385340,0,0,Hanumakonda,May,Q1,2019
60,15_1,5/1/2019,31310,2027201202,0,0,Rangareddy,May,Q1,2019
61,17_1,5/1/2019,2400,68953812,0,0,Medak,May,Q1,2019
62,21_3,5/1/2019,2968,38073544,0,0,Jangoan,May,Q1,2019
63,15_3,5/1/2019,2347,26915352,0,0,Vikarabad,May,Q1,2019
64,14_1,6/1/2019,3565,50331243,0,0,Mahabubnagar,Jun,Q1,2019
65,17_3,6/1/2019,5625,50053613,0,0,Siddipet,Jun,Q1,2019
66,20_3,6/1/2019,2388,27212704,0,0,Rajanna Sircilla,Jun,Q1,2019
67,21_5,6/1/2019,1392,18292822,0,0,Mahabubabad,Jun,Q1,2019
68,23_1,6/1/2019,7146,104282218,0,0,Nalgonda,Jun,Q1,2019
69,23_3,6/1/2019,9280,106077226,0,0,Yadadri Bhuvanagiri,Jun,Q1,2019
70,20_1,6/1/2019,3276,63248165,0,0,Karimnagar,Jun,Q1,2019
71,20_4,6/1/2019,2053,33732651,0,0,Peddapalli,Jun,Q1,2019
72,16_1,6/1/2019,5015,746210249,0,0,Hyderabad,Jun,Q1,2019
73,14_3,6/1/2019,4267,29213266,0,0,Nagarkurnool,Jun,Q1,2019
74,15_2,6/1/2019,11808,942570587,0,0,Medchal_Malkajgiri,Jun,Q1,2019
75,21_6,6/1/2019,721,6553495,0,0,Mulugu,Jun,Q1,2019
76,22_2,6/1/2019,705,13006275,0,0,Bhadradri Kothagudem,Jun,Q1,2019
77,20_2,6/1/2019,2672,32368172,0,0,Jagtial,Jun,Q1,2019
