,Unnamed: 0,dist_code,district,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport,Mmm,quarter,fiscal_year,_merge
0,0,19_1,Adilabad,4/1/2019,1758.0,326.0,0.0,2.0,1697.0,116.0,77.0,13.0,183.0,1823.0,184.0,79.0,2061.0,25.0,1832.0,254.0,Apr,Q1,2019.0,both
1,48,22_2,Bhadradri Kothagudem,4/1/2019,3527.0,669.0,2.0,4.0,3409.0,234.0,231.0,74.0,254.0,3683.0,467.0,52.0,4096.0,106.0,3725.0,477.0,Apr,Q1,2019.0,both
2,97,16_1,Hyderabad,4/1/2019,24309.0,2957.0,284.0,1540.0,22081.0,3749.0,1518.0,0.0,1742.0,23082.0,5306.0,698.0,27121.0,1969.0,25973.0,3117.0,Apr,Q1,2019.0,both
3,145,20_2,Jagtial,4/1/2019,2786.0,440.0,2.0,0.0,2720.0,135.0,106.0,121.0,146.0,2951.0,245.0,30.0,3120.0,108.0,2986.0,242.0,Apr,Q1,2019.0,both
4,193,21_3,Jangoan,4/1/2019,1961.0,281.0,2.0,0.0,1939.0,72.0,72.0,48.0,113.0,2082.0,146.0,16.0,2209.0,35.0,2075.0,169.0,Apr,Q1,2019.0,both
5,241,21_7,Jayashankar Bhupalpally,4/1/2019,1552.0,309.0,0.0,0.0,1512.0,76.0,69.0,109.0,95.0,1696.0,145.0,20.0,1820.0,41.0,1701.0,160.0,Apr,Q1,2019.0,both
6,289,14_2,Jogulamba Gadwal,4/1/2019,2033.0,173.0,0.0,0.0,2017.0,67.0,22.0,47.0,53.0,2111.0,87.0,8.0,2162.0,44.0,2134.0,72.0,Apr,Q1,2019.0,both
7,337,18_2,Kamareddy,4/1/2019,3066.0,306.0,6.0,0.0,2995.0,142.0,49.0,64.0,128.0,3156.0,189.0,33.0,3322.0,56.0,3203.0,175.0,Apr,Q1,2019.0,both
8,385,20_1,Karimnagar,4/1/2019,3028.0,579.0,0.0,15.0,2897.0,278.0,112.0,60.0,275.0,3195.0,382.0,45.0,3514.0,108.0,3262.0,360.0,Apr,Q1,2019.0,both
9,433,22_1,Khammam,4/1/2019,5740.0,760.0,4.0,49.0,5628.0,345.0,228.0,86.0,266.0,5939.0,535.0,79.0,6412.0,141.0,6077.0,476.0,Apr,Q1,2019.0,both
